"","link","titulo","preco","cidade","bairro","adicional","tem_quarto","tem_area","tem_taxa","tem_garagem","qtd_quarto","taxa_condominio","area_condominio","garagem"
"1005","https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/apartamento-a-venda-com-3-dormitorios-em-icarai-niteroi-cod-856157-654975048","Apartamento à venda com 3 dormitórios em Icaraí, Niterói cod: 856157",1700000,"Niterói"," Icaraí","3 quarto | 191m² | Condomínio: RS 1.410 | 2 vagas",TRUE,TRUE,TRUE,TRUE,3,1410,191,2
"1006","https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/apartamento-a-venda-com-4-dormitorios-em-icarai-niteroi-cod-881358-768333779","Apartamento à venda com 4 dormitórios em Icaraí, Niterói cod:881358",5e+06,"Niterói"," Icaraí","4 quarto | 385m² | Condomínio: RS 3.200 | 3 vagas",TRUE,TRUE,TRUE,TRUE,4,3200,385,3
"1007","https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/apartamento-com-4-dormitorios-a-venda-301-m-por-r-4-800-000-00-icarai-niteroi-rj-563130467","Apartamento com 4 dormitórios à venda, 301 m² por R$ 4.800.000,00 - Icaraí - Niterói/RJ",4800000,"Niterói"," Icaraí","4 quarto | 301m² | Condomínio: RS 4.200 | 4 vagas",TRUE,TRUE,TRUE,TRUE,4,4200,301,4
"1008","https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/apartamento-a-venda-com-2-dormitorios-em-icarai-niteroi-cod-881570-768330412","Apartamento à venda com 2 dormitórios em Icaraí, Niterói cod:881570",630000,"Niterói"," Icaraí","2 quarto | 78m² | Condomínio: RS 622",TRUE,TRUE,TRUE,FALSE,2,622,78,0
"1009","https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/apartamento-a-venda-com-2-dormitorios-em-icarai-niteroi-cod-480748-515303106","Apartamento à venda com 2 dormitórios em Icaraí, Niterói cod:480748",8e+05,"Niterói"," Icaraí","2 quarto | 79m² | Condomínio: RS 740 | 1 vaga",TRUE,TRUE,TRUE,TRUE,2,740,79,1
"1010","https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/lindo-ap-em-icarai-and-alto-2-3q-suite-master-vista-mar-maravilhosa-para-o-corcovado-768379941","Lindo Ap em Icaraí, And alto, 2/3Q, Suite Master , Vista Mar Maravilhosa para o Corcovado",1100000,"Niterói"," Icaraí","3 quarto | 146m² | Condomínio: RS 1.100 | 1 vaga",TRUE,TRUE,TRUE,TRUE,3,1100,146,1
"1011","https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/apartamento-a-venda-236-m-por-r-1-150-000-00-icarai-niteroi-rj-729037038","Apartamento à venda, 236 m² por R$ 1.150.000,00 - Icaraí - Niterói/RJ",1150000,"Niterói"," Icaraí","4 quarto | 236m² | Condomínio: RS 1.400 | 1 vaga",TRUE,TRUE,TRUE,TRUE,4,1400,236,1
"1012","https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/apartamento-a-venda-com-4-dormitorios-em-icarai-niteroi-cod-881912-768330410","Apartamento à venda com 4 dormitórios em Icaraí, Niterói cod:881912",990000,"Niterói"," Icaraí","4 quarto | 141m² | Condomínio: RS 1.736 | 2 vagas",TRUE,TRUE,TRUE,TRUE,4,1736,141,2
"1013","https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/apartamento-a-venda-com-3-dormitorios-em-icarai-niteroi-cod-841338-598950300","Apartamento à venda com 3 dormitórios em Icaraí, Niterói cod:841338",1060000,"Niterói"," Icaraí","3 quarto | 140m² | Condomínio: RS 916 | 2 vagas",TRUE,TRUE,TRUE,TRUE,3,916,140,2
"1014","https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/apartamento-a-venda-com-3-dormitorios-em-icarai-niteroi-cod-1536-522064439","Apartamento à venda com 3 dormitórios em Icaraí, Niterói cod:1536",450000,"Niterói"," Icaraí","3 quarto | 100m² | Condomínio: RS 480",TRUE,TRUE,TRUE,FALSE,3,480,100,0
